#Z�hlrohrwinkel Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

26.0	44.0
26.1	52.0
26.2	52.0
26.3	55.0
26.4	58.0
26.5	60.0
26.6	66.0
26.7	70.0
26.8	81.0
26.9	97.0
27.0	109.0
27.1	98.0
27.2	119.0
27.3	134.0
27.4	139.0
27.5	146.0
27.6	158.0
27.7	159.0
27.8	179.0
27.9	186.0
28.0	197.0
28.1	204.0
28.2	187.0
28.3	208.0
28.4	176.0
28.5	171.0
28.6	173.0
28.7	152.0
28.8	157.0
28.9	138.0
29.0	119.0
29.1	118.0
29.2	113.0
29.3	87.0
29.4	85.0
29.5	70.0
29.6	59.0
29.7	55.0
29.8	54.0
29.9	54.0
30.0	46.0
