#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

22.0	15.0
22.2	17.0
22.4	18.0
22.6	17.0
22.8	16.0
23.0	19.0
23.2	17.0
23.4	17.0
23.6	17.0
23.8	17.0
24.0	17.0
24.2	17.0
24.4	17.0
24.6	17.0
24.8	15.0
25.0	15.0
25.2	17.0
25.4	14.0
25.6	16.0
25.8	14.0
26.0	16.0
26.2	20.0
26.4	23.0
26.6	29.0
26.8	31.0
27.0	32.0
27.2	32.0
27.4	30.0
27.6	29.0
27.8	28.0
28.0	27.0
28.2	27.0
28.4	27.0
28.6	23.0
28.8	22.0
29.0	23.0
29.2	23.0
29.4	21.0
29.6	20.0
29.8	20.0
30.0	19.0
