#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

36.0	47.0
36.2	47.0
36.4	47.0
36.5	48.0
36.8	52.0
37.0	58.0
37.2	65.0
37.4	76.0
37.5	81.0
37.8	84.0
38.0	84.0
38.2	82.0
38.4	89.0
38.6	83.0
38.8	83.0
39.0	81.0
39.2	84.0
39.4	87.0
39.5	95.0
39.8	130.0
40.0	392.0
40.2	793.0
40.4	866.0
40.5	843.0
40.8	590.0
41.0	270.0
41.2	127.0
41.4	113.0
41.5	106.0
41.8	96.0
42.0	89.0
42.2	88.0
42.4	85.0
42.6	85.0
42.8	82.0
43.0	82.0
43.2	83.0
43.4	83.0
43.6	89.0
43.8	89.0
44.0	111.0
