Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

38,0	130,0
38,2	126,0
38,4	126,0
38,6	129,0
38,8	139,0
39,0	128,0
39,2	139,0
39,4	0,0
39,5	146,0
39,8	185,0
40,0	572,0
40,2	1187,0
40,4	1298,0
40,5	1268,0
40,8	909,0
41,0	440,0
41,2	206,0
41,4	179,0
41,5	176,0
41,8	160,0
42,0	144,0
42,2	143,0
42,4	138,0
42,6	135,0
42,8	131,0
43,0	131,0
43,2	129,0
43,4	139,0
43,6	150,0
43,8	157,0
44,0	181,0
44,2	255,0
44,4	597,0
44,5	2343,0
44,8	4380,0
45,0	4633,0
45,2	4155,0
45,4	2632,0
45,5	1325,0
45,8	262,0
46,0	196,0
46,2	160,0
46,4	139,0
46,6	128,0
46,8	110,0
47,0	112,0
47,2	106,0
47,4	102,0
47,6	99,0
47,8	96,0
48,0	100,0
