Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

8,0	26,0
8,4	36,0
8,8	33,0
9,2	36,0
9,6	29,0
10,0	36,0
10,4	40,0
10,8	39,0
11,2	52,0
11,6	66,0
12,0	71,0
12,4	91,0
12,8	81,0
13,2	95,0
13,6	101,0
14,0	123,0
14,4	129,0
14,8	132,0
15,2	143,0
15,6	147,0
16,0	160,0
16,4	165,0
16,7	170,0
17,2	185,0
17,6	180,0
18,0	187,0
18,4	190,0
18,8	212,0
19,2	208,0
19,6	198,0
20,0	228,0
20,4	218,0
20,8	238,0
21,2	230,0
21,6	230,0
22,0	247,0
22,4	243,0
22,8	242,0
23,2	244,0
23,6	235,0
24,0	247,0
24,4	240,0
24,8	224,0
25,2	235,0
25,6	243,0
26,0	243,0
26,4	219,0
26,8	193,0
27,2	182,0
27,6	184,0
28,0	197,0
28,4	184,0
28,8	172,0
29,2	179,0
29,6	172,0
30,0	174,0
30,4	172,0
30,8	174,0
31,2	167,0
31,6	157,0
32,0	158,0
32,4	160,0
32,8	144,0
33,2	147,0
33,6	137,0
34,0	143,0
34,4	141,0
34,8	146,0
35,2	141,0
35,5	134,0
36,0	129,0
36,4	124,0
36,8	121,0
37,2	125,0
37,5	132,0
38,0	126,0
38,4	125,0
38,8	133,0
39,2	130,0
39,5	140,0
40,0	554,0
40,4	1286,0
40,8	903,0
41,2	216,0
41,5	169,0
42,0	142,0
42,4	146,0
42,8	136,0
43,2	152,0
43,6	143,0
44,0	195,0
44,4	601,0
44,8	4405,0
45,2	4135,0
45,5	1318,0
46,0	196,0
46,4	139,0
46,8	114,0
47,2	112,0
47,6	101,0
48,0	91,0
48,4	96,0
48,8	81,0
49,2	82,0
49,6	82,0
50,0	80,0
50,4	76,0
50,8	73,0
51,2	72,0
51,6	69,0
52,0	65,0
