#alpha parallel senkrecht dunkel
 5   8.0   7.2   5.0
10   9.2   5.7   2.6
15  10     6.0   1.0
20  11     4.8   1.8
25  12     5.6   0.8
30  12     5.2   1.6
35  20     7.4   0.8
40  28     8.0   1.1
45  36     7.8   0.8
50  38     7.4   4.0
55  48     8.0   1.9
60  62     7.0   1.8
65  54     4.7   1.8
70  92     3.4   1.9
75  82     1.6   1.4
76 100     1.7   1.6
77 100     1.8   1.4
78 110     2.2   1.3
79 110     2.4   1.1
80 100     4.0   1.3
85 120    18     1.0
88 150    46     3.7
