# artm_t_oben artm_t_unten sdev_t_oben sdev_t_unten
3.101500000000000057e+01 3.120499999999999829e+01 3.550000000000004263e-01 1.499999999999879208e-02
3.039999999999999858e+01 3.087500000000000000e+01 1.150000000000002132e-01 3.500000000000014211e-02
2.892500000000000071e+01 2.915500000000000114e+01 2.999999999999936051e-02 2.450000000000009948e-01
2.786500000000000199e+01 2.803000000000000114e+01 6.699999999999999289e-01 4.249999999999989342e-01
2.575000000000000000e+01 2.598499999999999943e+01 1.050000000000004263e-01 6.250000000000000000e-01
2.481000000000000227e+01 2.489000000000000057e+01 5.950000000000006395e-01 2.850000000000001421e-01
2.355999999999999872e+01 2.343500000000000227e+01 2.350000000000012079e-01 7.000000000000028422e-02
2.231500000000000128e+01 2.225999999999999801e+01 1.140000000000000568e+00 1.145000000000001350e+00
2.044500000000000028e+01 2.089000000000000057e+01 7.000000000000028422e-02 1.750000000000007105e-01
1.955499999999999972e+01 1.912500000000000000e+01 4.949999999999992184e-01 6.750000000000007105e-01
